Name,TM,POS,IP,ERA,FIP,BABIP,K%,BB%,HR/9,H/9,LOB%,GO%,STU,MOV,CON,STM,IR,IRS,BF,IBB,WPA,pLi,GS
Yandri Vittum,CLT,RP,8.2,6.23,3.44,.370,20.5,7.7,1.0,11.4,63.5,0.35,7,6,7,4,6,1,39,0,-0.1,1.12,0
Cam Walsh,SLC,SP,99.0,5.27,4.63,.341,10.0,11.8,0.9,11.5,72.1,0.65,5,6,6,7,6,1,448,4,-1.2,1.06,14
Eddie Bozich,BAL-AAA,CL,6.1,14.21,9.85,.316,17.6,14.7,4.3,12.8,46.3,0.38,7,5,6,2,5,2,34,0,-0.5,0.57,1
Souleymane Camara,ATL,RP,13.1,6.75,3.42,.389,9.0,10.4,0.0,14.2,64.3,0.58,6,6,5,2,5,0,67,0,0.0,0.32,0
Camden Capuano,LAD,RP,5.1,5.06,4.81,.400,25.9,11.1,1.7,11.8,62.5,0.75,6,6,5,2,5,1,27,0,-0.5,0.94,2
Earl Charette,MIN,RP,57.1,5.65,4.52,.298,16.3,5.3,1.7,10.2,62.3,0.47,6,6,7,6,5,0,245,0,-0.9,0.89,0
E.J. Denn,WIC,RP,12.2,4.26,6.37,.333,7.4,7.4,2.1,12.1,89.9,0.64,5,5,7,5,5,1,54,0,-0.0,0.91,0
John Donovan,TEX,CL,43.0,3.56,4.07,.307,17.1,9.4,1.0,9.2,81.8,0.58,8,6,6,6,5,4,181,0,1.0,2.19,0
Elliot Dumas,PIT,RP,14.0,2.57,1.67,.263,22.2,7.4,0.0,6.4,71.4,0.63,5,6,7,2,5,0,54,1,0.3,0.53,0
Cal Hall,SD,RP,11.1,0.00,3.71,.071,12.5,17.5,0.0,1.6,100.0,0.58,5,6,5,2,5,0,40,0,0.5,0.79,0
Abu Bakr Kieckhafer,TOR,RP,26.1,5.13,3.81,.359,13.8,8.9,0.7,12.0,67.9,0.54,5,6,5,2,5,2,123,0,-0.1,0.93,14
Nessos Lopez,KCR-AAA,RP,6.1,4.26,5.27,.368,12.9,22.6,0.0,9.9,80.0,0.33,9,5,5,3,5,2,31,0,0.1,1.06,0
Vadim Margarint,BOI,RP,8.0,3.38,1.74,.292,21.2,6.1,0.0,7.9,66.7,0.56,8,6,6,3,5,1,33,0,0.0,0.22,0
Siegfried Matheis,KC-AA,RP,0.1,27.00,3.20,.500,0.0,0.0,0.0,27.0,0.0,1.00,7,6,7,3,5,2,2,0,-0.1,1.15,0
Porter Nelson,BOS-AA,RP,13.2,0.66,1.86,.129,25.5,8.5,0.0,2.6,87.5,0.52,7,7,7,4,5,0,47,0,0.3,0.41,0
Gennady Palchin,MTL,CL,78.0,3.46,4.29,.261,13.4,11.0,0.8,8.1,80.2,0.52,7,7,5,5,5,3,336,2,1.0,1.45,0
Adam Ransome,SAC,RP,3.2,2.45,1.92,.300,21.4,7.1,0.0,7.4,75.0,0.71,7,6,5,3,5,2,14,0,-0.2,1.51,0
Willy Reynolds,SD-AAA,RP,13.1,2.70,4.47,.275,11.8,5.9,1.3,8.8,90.9,0.66,5,6,5,3,5,2,51,0,-0.1,0.50,0
Wayne Robinson,WIC,RP,9.0,6.00,5.08,.368,4.4,8.9,1.0,15.0,73.9,0.62,4,6,5,5,5,2,45,0,0.0,1.06,2
Jake Roton,NYY-AAA,SP,4.0,4.50,4.49,.286,5.6,11.1,0.0,9.0,71.4,0.60,5,6,6,6,5,1,18,0,-0.0,0.19,0
Dan Sargent,ATL,RP,10.2,4.22,4.52,.321,23.9,10.9,1.7,9.3,83.3,0.37,9,5,6,2,5,3,46,0,0.2,2.15,0
Lachlan Scott,BOI-AAA,SP,6.2,8.10,6.79,.150,6.9,13.8,1.3,5.4,46.5,0.65,6,6,6,6,5,0,29,0,-0.2,1.19,1
Hank Souder,-,RP,8.0,3.38,3.62,.333,9.7,0.0,1.1,11.2,81.4,0.67,5,6,5,3,5,3,31,0,-0.0,0.33,0
Pascal Tovar,JCK,RP,12.2,7.82,4.48,.370,13.8,13.8,0.7,12.8,58.6,0.42,6,6,4,3,5,1,65,0,-0.3,0.73,0
Dani van der Meulen,VAN,SP,59.0,4.27,3.62,.337,14.6,8.6,0.6,10.8,73.3,0.55,6,6,6,7,5,1,268,0,-0.3,1.03,10
Colan Williams,TOR,RP,9.1,1.93,3.92,.250,19.5,19.5,0.0,5.8,86.7,0.56,6,5,6,2,5,1,41,0,0.2,0.63,0
Marcin Bando,CLE,CL,31.2,2.27,3.22,.280,27.4,14.1,0.6,6.5,87.4,0.50,9,7,5,3,4,2,135,0,1.3,2.36,0
Austin Baughman,CLE,RP,9.0,3.00,2.74,.214,15.8,10.5,0.0,6.0,70.0,0.62,5,6,7,3,4,1,38,0,0.2,1.46,1
Damien Chartrand,TEX,SP,152.0,2.55,2.94,.276,16.0,8.1,0.4,7.9,77.3,0.53,6,7,6,5,4,0,620,4,3.6,1.09,16
Chris Den,TBG,CL,12.0,3.75,2.08,.270,18.9,9.4,0.0,7.5,68.8,0.67,8,6,7,3,4,1,53,2,0.5,1.44,0
Alijah Hamilton,LAD,LF,47.1,2.66,3.95,.243,13.4,10.9,0.6,7.4,83.3,0.50,6,7,7,7,4,2,202,0,0.7,1.24,0
Alex Isham,JCK,RP,2.0,4.50,11.74,.000,20.0,20.0,4.5,4.5,100.0,0.50,6,6,6,2,4,0,10,0,-0.0,0.68,0
James Kendall,STL,RP,5.2,1.59,1.86,.188,19.0,4.8,0.0,4.8,75.0,0.42,7,7,7,3,4,2,21,0,-0.3,1.13,0
Ruphin Kimlinger,MIL-AAA,SP,10.2,2.53,5.18,.371,9.6,19.2,0.0,11.0,80.0,0.81,6,6,5,5,4,1,52,0,-0.0,0.43,0
Corbin King,CIN,SP,27.0,8.00,7.52,.376,9.3,12.1,2.7,15.3,66.3,0.53,7,6,6,7,4,2,140,1,-1.2,1.08,3
Franklin Loya,CLG-AAA,CL,17.0,2.65,4.15,.305,10.3,11.5,0.5,10.1,86.5,0.51,6,6,5,2,4,1,78,0,-0.2,1.00,10
Todd McCluskey,PIT,SP,31.1,4.31,5.49,.265,12.2,10.1,1.7,9.5,77.7,0.47,7,7,6,6,4,2,139,0,-0.5,1.02,5
Inigo Montes,CIN,SP,46.1,5.24,3.37,.329,12.1,7.6,0.4,10.3,62.5,0.48,6,7,7,6,4,1,198,0,-0.8,0.96,4
Fergal Morahan,DET,RP,6.2,6.75,10.24,.333,12.9,6.5,5.4,14.8,100.0,0.50,7,6,6,6,4,1,31,0,-0.0,0.26,0
Kyal Muir,NYM,RP,10.2,8.44,5.93,.241,17.0,17.0,1.7,7.6,49.3,0.82,8,7,4,5,4,0,47,0,-0.0,0.45,0
José Murillo,SF-AA,SP,11.2,3.86,4.63,.359,15.1,7.5,1.5,12.3,87.2,0.76,6,6,6,4,4,4,53,0,-0.3,0.65,0
Géder Najera,CLE,SP,92.0,3.13,3.41,.314,17.6,9.6,0.6,9.2,81.4,0.47,7,7,6,4,4,1,397,0,0.8,1.09,2
Neil Nichols,-,RP,14.0,4.50,4.74,.271,9.4,12.5,0.6,9.0,74.1,0.48,5,6,5,4,4,1,64,0,0.1,0.68,0
D.J. Oxley,CLE,SP,20.1,4.43,5.69,.273,9.3,8.1,1.8,9.7,82.0,0.64,7,6,6,4,4,2,86,0,0.3,0.86,0
Santiago Perez,SYR-AAA,SP,29.0,6.52,5.12,.388,14.6,17.2,0.6,12.4,63.4,0.46,5,6,5,4,4,0,151,0,-1.4,1.10,2
Billy Piecuch,HOU,CL,31.0,4.06,4.10,.321,20.3,17.5,0.3,8.1,75.5,0.50,9,7,5,2,4,3,143,0,-1.2,2.21,0
Blair Ray,NYM,RP,9.2,7.45,4.71,.345,19.0,7.1,1.9,11.2,49.2,0.56,9,6,5,4,4,1,42,0,-0.4,1.77,0
Freddy Reid,SAC,RP,5.2,0.00,2.39,.059,5.6,0.0,0.0,1.6,100.0,0.56,5,5,7,3,4,0,18,0,0.1,0.33,0
Wayne Roma,CHC,CL,32.2,1.38,1.55,.314,26.7,8.9,0.0,7.4,87.5,0.45,9,7,7,3,4,0,135,2,2.2,2.39,0
Mahbub Sammarhoun,SAC,SP,59.0,2.75,3.05,.308,13.1,6.0,0.5,9.9,73.9,0.56,5,7,7,6,4,0,252,0,1.1,1.25,8
Victor Santoyo,ATL,RP,13.0,2.77,3.74,.286,15.5,8.6,0.7,9.0,85.2,0.48,6,6,6,6,4,2,58,0,0.0,0.95,0
Tony Swenson,SEA,RP,3.1,8.10,8.74,.100,6.7,20.0,2.7,5.4,55.6,0.67,7,7,6,4,4,1,15,0,0.2,1.18,0
Ezra Williams,SA,RP,36.2,4.42,4.19,.317,13.7,8.1,1.0,10.3,75.9,0.57,5,7,6,3,4,2,161,0,-0.5,0.67,7
C.J. Acevedo,ATL-AAA,SP,6.2,0.00,1.24,.304,17.9,0.0,0.0,9.4,85.7,0.40,5,6,5,6,3,0,28,0,0.4,1.33,0
Jack Bayne,ATL,RP,7.2,5.87,4.96,.300,20.6,17.6,1.2,8.2,69.0,0.57,6,7,5,6,3,1,34,0,0.0,1.07,0
Luke Betzner,MIL,RP,10.0,0.00,3.14,.200,18.4,15.8,0.0,4.5,100.0,0.63,7,6,5,6,3,0,38,0,0.0,0.34,0
David Broome,MIN,CL,47.2,1.32,1.92,.314,27.4,7.4,0.4,7.6,87.9,0.58,9,7,7,4,3,0,190,1,2.6,2.27,0
Jeremiah Castro,CHC,RP,8.2,0.00,1.70,.360,18.8,0.0,0.0,9.3,100.0,0.81,7,6,7,3,3,0,32,0,0.5,1.32,0
Jonas Cavalier,TEX-AAA,RP,3.1,2.70,7.24,.100,0.0,33.3,0.0,2.7,83.3,0.56,6,6,4,2,3,0,15,0,0.0,0.79,0
Oliver Chestnut,BAL,SP,105.1,5.64,4.54,.337,14.2,13.3,0.9,10.4,68.2,0.53,6,6,6,7,3,1,473,5,-2.1,1.02,16
Louis-Charles Craswell,HOU,RP,13.2,5.27,3.47,.378,18.5,6.2,0.7,11.9,67.8,0.50,6,5,6,2,3,1,65,0,-0.3,0.75,7
Jared Creagh,CIN,SP,63.2,5.51,3.94,.352,14.7,8.9,0.8,11.5,69.6,0.46,7,6,6,4,3,2,292,0,-1.2,1.01,9
Nathan Fitzgerald,COL-AA,SP,11.1,3.18,2.30,.156,16.7,7.1,0.0,4.0,50.0,0.46,5,7,6,5,3,0,42,0,0.1,0.32,0
Marshall Galioto,LAD,RP,5.2,3.18,2.57,.273,8.0,4.0,0.0,9.5,28.6,0.64,7,6,7,5,3,0,25,0,0.2,0.80,0
Brandon Heinen,CHC,RP,8.1,4.32,3.82,.382,0.0,8.1,0.0,14.0,75.0,0.52,7,7,6,4,3,1,37,0,-0.0,0.21,0
Russ Hunter,NOLA,SP,87.1,5.36,4.55,.313,13.9,12.7,0.8,10.0,69.1,0.51,6,6,5,6,3,1,409,3,-1.5,1.05,11
Worm Kaplun,BOI,CL,42.0,1.93,3.41,.238,27.1,9.4,1.3,6.4,98.4,0.38,9,6,5,3,3,0,170,2,1.8,2.23,0
Faustino Loya,BAL,CL,33.2,2.67,2.86,.291,17.6,9.5,0.5,8.6,72.4,0.49,8,7,8,3,3,3,148,5,1.1,2.31,0
Ransel Mandelbrot,ATL-AAA,SP,3.1,0.00,0.34,.333,30.8,0.0,0.0,8.1,66.7,0.50,7,6,5,6,3,0,13,0,0.0,0.20,0
Wayne McBee,NOL-A,SP,5.1,0.00,2.56,.235,10.0,5.0,0.0,6.8,100.0,0.38,6,6,5,7,3,0,20,0,0.1,0.56,0
Kevin Messer,SA,RP,8.0,13.50,8.74,.448,13.3,15.6,3.4,18.0,58.5,0.56,5,6,6,2,3,1,45,0,-0.7,1.09,0
Esa Pyrrö,LAD,SP,82.2,4.25,3.46,.331,14.3,8.1,0.5,10.1,70.8,0.60,6,7,7,7,3,0,357,2,0.5,1.02,13
Manny Rees,ATL-AAA,SP,62.0,3.92,3.16,.343,16.1,7.1,0.6,10.5,74.4,0.51,6,7,7,5,3,2,267,1,-0.2,0.90,9
Kurt Reynolds,PHI,CL,49.2,1.81,2.12,.329,22.2,8.7,0.2,8.5,86.7,0.60,8,7,7,4,3,0,207,3,2.5,2.27,0
Bernard Rodriguez,BOI-AA,SP,31.0,6.10,6.55,.312,8.7,13.3,1.7,11.6,70.9,0.64,6,6,5,8,3,1,150,0,-1.6,1.07,3
Gage Sadler,COL,SP,133.1,2.63,4.03,.265,15.7,7.8,1.1,8.3,86.6,0.54,7,6,7,5,3,0,548,3,2.5,1.12,12
Benno Sharda,AZ,RP,22.1,5.64,4.22,.297,9.0,17.0,0.0,8.9,64.1,0.58,6,6,6,6,3,1,100,0,-0.1,1.12,6
Les Smith,TEX,RP,9.0,2.00,6.19,.222,7.7,17.9,1.0,7.0,95.6,0.57,5,6,5,4,3,1,39,0,-0.3,0.58,0
Oscar Villagomez,VAN,RP,7.1,6.14,3.56,.333,8.8,8.8,0.0,11.0,61.5,0.47,7,7,5,6,3,1,34,0,0.2,0.75,0
Kaleb Wilson,TBG,RP,1.2,10.80,5.14,.429,10.0,20.0,0.0,16.2,60.0,0.25,7,6,7,5,3,2,10,0,-0.0,0.67,0
Rene Wilson,MIA,CL,20.1,1.77,3.92,.263,18.2,10.2,0.9,7.5,95.4,0.50,8,6,7,3,3,1,88,2,0.9,2.15,0
Kevin Beatty,COL-AAA,SP,6.0,1.50,2.08,.467,28.6,14.3,0.0,10.5,90.9,0.78,6,6,6,6,2,2,28,0,-0.2,1.00,0
Mason Beech,ATL-AA,CL,5.1,1.69,5.74,.200,13.6,13.6,1.7,6.8,89.3,0.73,6,6,6,3,2,0,22,0,0.3,1.09,0
Josef Beltz,TEX,RP,2.1,0.00,1.46,.200,33.3,11.1,0.0,3.9,100.0,1.00,7,7,7,2,2,1,9,0,0.1,2.34,0
Jordan Borja,CLG-A,SP,9.0,2.00,3.08,.333,22.5,15.0,0.0,8.0,86.7,0.50,7,6,5,4,2,0,40,0,0.2,1.30,0
José Bustamante,ARK-AAA,SP,1.0,36.00,6.74,.667,11.1,22.2,0.0,36.0,33.3,1.00,5,6,6,6,2,1,9,0,-0.1,1.43,0
Augie Calkins,CLT,RP,2.0,0.00,2.74,.125,0.0,0.0,0.0,4.5,100.0,0.67,6,6,7,4,2,1,8,0,0.0,0.70,0
Nick Carter,BOI,RP,12.0,7.50,5.24,.381,15.9,11.1,1.5,13.5,70.2,0.69,7,6,6,6,2,1,63,1,-0.4,0.46,1
Wilton Castro,NOL-A,SP,1.2,0.00,3.34,.333,12.5,12.5,0.0,10.8,100.0,0.50,7,6,6,5,2,0,8,0,0.2,2.56,0
Roberto Covarrubias,NOLA,CL,28.2,4.08,3.37,.314,29.4,16.2,0.6,7.5,75.2,0.31,9,7,5,3,2,2,136,0,-1.1,2.39,0
Brant DiLorenzo,MTL-AAA,SP,0.2,0.00,0.20,.000,50.0,0.0,0.0,0.0,0.0,0.00,5,6,5,7,2,0,2,0,0.0,0.40,0
Jeronimo Duran,ABQ-AA,SP,6.0,3.00,4.74,.333,7.1,3.6,1.5,13.5,69.8,0.50,6,6,6,5,2,1,28,0,-0.1,0.23,0
Trent Eastwood,CHC,RP,10.2,4.22,4.34,.294,14.6,12.5,0.8,9.3,70.5,0.62,7,6,7,4,2,0,48,0,-0.1,0.82,6
Tyrone Exume,BAL,SP,30.2,5.58,5.09,.287,11.4,6.8,1.8,10.3,70.2,0.55,6,6,7,6,2,2,132,1,-0.4,0.95,5
Tino Fonseca,LAD,RP,1.0,0.00,3.74,.000,33.3,33.3,0.0,0.0,100.0,1.00,7,6,4,3,2,0,3,0,0.0,1.40,0
Liam Fulmer,ARZ-A,RP,14.1,1.26,3.30,.303,23.7,20.3,0.0,6.3,90.9,0.70,8,6,4,3,2,0,59,0,0.4,0.76,4
Bevin Gordon,NOR,RP,9.0,6.00,4.63,.273,9.5,9.5,1.0,10.0,63.5,0.55,5,6,5,3,2,2,42,0,0.0,0.60,0
Casen Graves,ATL-AAA,SP,2.2,0.00,1.99,.000,14.3,0.0,0.0,0.0,0.0,0.50,5,6,6,5,2,0,7,0,0.0,0.16,0
Victor Greene,MTL-AAA,RP,5.2,0.00,3.27,.176,13.0,13.0,0.0,4.8,100.0,0.50,6,7,6,3,2,0,23,0,0.4,1.26,1
Max Holmes,ARK-AAA,RP,3.1,8.10,10.54,.167,0.0,0.0,5.4,10.8,83.3,0.30,5,5,7,3,2,0,14,0,-0.0,0.39,0
Nathan Johnston,ATL,RP,5.1,0.00,2.93,.286,18.2,9.1,0.0,6.8,100.0,0.80,7,6,6,5,2,0,22,1,0.7,2.70,0
Eli Jones,BOS,CL,34.1,2.62,3.27,.256,26.4,9.7,1.0,6.8,87.9,0.49,9,6,6,4,2,2,144,2,1.1,2.09,0
Yazan Khalayleh,MIN,CL,2.2,0.00,3.12,.375,10.0,10.0,0.0,10.1,100.0,0.80,7,6,5,3,2,2,10,0,-0.0,0.41,0
Mickey Madrid,BAL,RP,78.1,3.56,4.31,.300,13.5,12.3,0.8,9.3,73.4,0.54,5,7,6,4,2,0,349,4,-0.4,1.12,11
Gavin Markle,SLC-AAA,SP,7.2,10.57,7.31,.346,14.0,16.3,2.3,12.9,64.0,0.41,6,6,5,6,2,0,43,2,-0.5,0.81,0
Lucas May,SEA-AA,SP,1.1,33.75,4.99,.636,0.0,8.3,0.0,47.2,37.5,0.50,6,6,6,6,2,2,12,0,-0.1,0.18,0
Patrick McKeane,TOR,SP,10.0,8.10,3.34,.452,22.4,8.2,0.9,13.5,59.1,0.44,6,6,5,7,2,0,49,0,-0.3,1.62,6
Luukas Mäkinen,OAK,RP,5.1,3.38,4.24,.429,28.0,8.0,1.7,11.8,93.0,0.50,6,6,7,3,2,1,25,0,-0.1,0.87,0
Neftali Navidad,TBG,RP,25.0,3.60,5.42,.311,9.7,15.5,1.1,9.4,84.7,0.51,7,6,5,6,2,0,103,0,-0.1,0.81,2
Alex Nunez,SLC-A2,RP,2.0,4.50,4.24,.375,0.0,11.1,0.0,13.5,75.0,0.20,7,6,5,3,2,0,9,0,-0.0,0.24,0
Reansh Odvarka,SJ-AAA,SP,1.2,0.00,2.14,.000,33.3,16.7,0.0,0.0,100.0,0.67,5,7,6,6,2,0,6,0,0.2,1.60,0
Paco Ortiz,BAL-AAA,SP,3.0,0.00,4.74,.100,0.0,16.7,0.0,3.0,100.0,0.75,5,6,6,4,2,0,12,0,0.0,0.16,0
Orran Peacock,POR-AAA,SP,1.0,0.00,15.74,.200,0.0,0.0,9.0,18.0,0.0,0.67,6,6,7,5,2,0,6,0,-0.3,2.12,0
Mark Polyansky,BOI,SP,64.0,3.94,3.93,.261,16.7,8.7,1.1,8.0,75.6,0.53,7,6,6,6,2,0,264,3,-0.1,0.99,10
Grits Powell,PHI,RP,3.2,2.45,3.29,.200,14.3,14.3,0.0,4.9,75.0,0.75,7,7,7,4,2,0,14,0,0.1,1.18,0
Jeremy Quigley,SLC,RP,7.0,2.57,4.03,.250,17.9,7.1,1.3,7.7,90.9,0.73,6,6,6,7,2,0,28,0,-0.1,0.41,0
Zechariah Ramey,NOL-AA,RP,3.2,0.00,3.83,.308,6.2,6.2,0.0,9.8,100.0,0.78,6,6,6,3,2,0,16,0,0.1,1.24,0
Elias Sander,TOR-A,CL,2.1,0.00,1.03,.286,22.2,0.0,0.0,7.7,100.0,0.60,6,6,6,3,2,1,9,0,0.0,0.31,0
Bob Stickradt,ABQ,RP,108.1,4.32,4.97,.277,11.1,10.7,1.2,9.3,75.3,0.49,6,7,6,5,2,0,476,0,0.1,1.05,16
Justin Stoll,SJO,SP,2.0,27.00,1.74,.615,7.1,0.0,0.0,36.0,25.0,0.40,4,7,7,5,2,0,14,0,-0.3,1.71,0
Mugito Tajima,NYY-AAA,CL,6.1,4.26,5.58,.118,10.7,28.6,0.0,2.8,70.0,0.47,7,7,4,4,2,0,28,0,0.1,0.75,0
Art Torino,SEA,RP,3.1,5.40,6.94,.286,5.9,5.9,2.7,13.5,87.0,0.67,8,6,6,5,2,2,17,0,-0.0,0.18,0
Gerardo Valentin,TBG,SP,108.1,4.24,3.50,.344,16.9,8.9,0.7,10.4,72.0,0.56,7,7,6,7,2,0,474,0,0.6,1.18,13
M B van Agt,CAR-AAA,SP,2.0,0.00,2.24,.000,28.6,14.3,0.0,0.0,100.0,0.50,6,6,5,4,2,0,7,0,0.0,0.19,0
Benjamin Walsh,POR,RP,2.2,0.00,3.49,.286,18.2,18.2,0.0,6.8,100.0,0.60,7,6,5,6,2,0,11,0,0.0,0.51,0
Darby Yach,SD,CL,40.2,2.43,2.79,.267,24.9,8.9,0.4,6.6,80.5,0.53,9,7,6,3,2,1,169,0,1.1,2.27,0
Ahmed Bambino,ARI-AAA,SP,85.2,2.84,3.56,.303,12.1,8.5,0.5,9.6,78.3,0.58,6,6,6,5,1,0,364,0,0.7,1.06,12
Dinesh Chander,DCN,RP,20.0,3.15,4.69,.278,18.2,18.2,0.9,7.7,86.1,0.45,8,7,5,5,1,0,88,1,1.1,2.84,0
Tibald Davis,TOR-A,RP,8.1,3.24,3.70,.160,12.9,3.2,1.1,5.4,65.2,0.48,5,7,6,4,1,0,31,0,0.0,0.64,0
Augustin De Boeck,TEX-AA,SP,144.0,3.50,3.56,.286,15.0,10.9,0.6,8.4,74.8,0.48,7,6,6,7,1,0,608,10,-0.2,1.11,20
Michal Dziedziak,SLC-A2,CL,4.0,0.00,3.24,.167,12.5,12.5,0.0,4.5,100.0,0.50,4,6,6,4,1,0,16,0,0.1,0.34,0
Gabriel Emesiochel,TEX-A,SP,2.0,9.00,1.74,.500,9.1,0.0,0.0,22.5,60.0,0.80,4,5,4,7,1,1,11,0,0.0,0.98,0
J.R. Follett,CLE,SP,78.2,3.78,4.34,.258,15.1,12.7,0.7,7.4,73.2,0.46,7,7,5,6,1,1,338,0,1.1,1.14,13
Randy Gerber,SD-AAA,CL,1.1,0.00,3.49,.000,25.0,25.0,0.0,0.0,100.0,1.00,8,6,6,3,1,0,4,0,0.0,0.10,0
Roberto Graziani,BOS-AA,SP,10.1,1.74,2.74,.192,21.4,16.7,0.0,4.4,83.3,0.48,8,5,4,6,1,0,42,1,-0.2,0.62,0
Ángel Gabriel Gutierres,ABQ,RP,10.1,2.61,3.32,.364,17.8,6.7,0.9,11.3,89.0,0.29,7,6,6,6,1,1,45,0,-0.2,0.70,5
Walter Hahn,STL-A,SP,8.2,2.08,4.94,.222,8.6,11.4,1.0,7.3,93.8,0.48,6,5,5,6,1,1,35,0,0.1,1.08,0
Ryan Henderson,STL,RP,6.0,3.00,3.91,.300,12.5,0.0,1.5,10.5,89.3,0.31,5,6,7,3,1,1,24,0,-0.4,0.52,0
Mephisto Hernández,TEX-AAA,RP,3.0,18.00,9.08,.455,15.0,20.0,3.0,18.0,46.5,0.17,8,5,4,3,1,1,20,0,-0.3,0.91,1
Te-Lung Isales,SA,RP,3.1,2.70,2.74,.364,18.8,12.5,0.0,10.8,66.7,0.57,6,5,6,3,1,0,16,0,0.0,0.68,0
John Mill,SAC,CL,25.1,1.42,0.81,.373,35.5,7.5,0.0,7.8,87.5,0.57,9,7,6,3,1,1,107,1,1.4,2.53,0
Archie Moghan,DCN,SP,109.2,4.51,4.40,.300,21.5,15.7,1.0,8.0,75.5,0.49,9,7,5,5,1,0,483,1,0.4,1.17,17
Roger Ngiraibai,SEA,SP,16.0,1.69,2.81,.310,23.1,10.8,0.6,7.9,91.8,0.66,7,6,6,6,1,0,65,1,0.5,0.86,0
Kent Patterson,LAD,SP,140.1,3.59,3.60,.298,16.4,8.9,0.8,9.0,76.5,0.51,7,7,7,6,1,0,604,7,-0.4,0.98,19
Vin Peral,CLG-AA,RP,4.2,5.79,7.89,.375,33.3,14.3,3.9,9.6,96.8,0.60,9,5,4,6,1,0,21,0,0.2,1.92,0
Peter Radil,HOU,RP,1.1,0.00,1.24,.000,25.0,0.0,0.0,0.0,0.0,0.67,6,5,5,2,1,0,4,0,0.0,0.08,0
Timothy Richards,TEX,SP,32.2,2.48,3.02,.265,16.8,6.1,0.6,7.7,81.9,0.49,6,7,6,7,1,0,131,0,0.7,1.19,0
Mikel Rios,NYM-AA,SP,8.0,1.12,3.74,.143,14.8,3.7,1.1,4.5,100.0,0.67,7,6,6,6,1,0,27,0,0.5,1.47,0
Samuel Roberts,FUB,RP,0.2,0.00,7.70,.500,0.0,33.3,0.0,13.5,50.0,1.00,7,5,5,3,1,0,3,0,-0.0,0.33,0
A.J. Robinson,SD-AA,SP,83.1,3.56,3.58,.296,18.3,8.2,0.9,8.9,73.0,0.54,7,7,6,8,1,1,355,0,-0.1,0.99,11
Jue Rozmetov,BOS,RP,2.1,0.00,5.31,.286,0.0,22.2,0.0,7.7,100.0,0.60,7,6,5,6,1,0,9,0,0.1,0.59,1
Chink Tatro,CAR-A,CL,2.0,9.00,6.24,.333,42.9,0.0,4.5,9.0,0.0,0.50,7,6,6,3,1,0,7,0,-0.0,0.29,0
Basilio Tejeda,BOI,SP,14.0,2.57,2.74,.282,20.3,11.9,0.0,7.1,78.9,0.54,7,6,6,6,1,0,59,0,-0.1,0.76,2
John Wooten,KC,CL,8.0,5.62,3.37,.423,18.4,7.9,1.1,13.5,75.3,0.33,8,6,6,6,1,1,38,2,-0.5,1.40,0
Asier Abrego,NYM,SP,52.2,3.59,4.00,.340,14.0,9.5,0.9,10.3,79.7,0.61,7,7,6,5,0,0,221,0,0.2,1.12,9
Ronald Adams,POR,RP,0.1,0.00,3.20,.000,0.0,0.0,0.0,0.0,0.0,0.00,6,6,6,3,0,0,1,0,0.0,0.90,0
Michael Akurugu,ABQ,SP,181.1,2.83,3.13,.258,13.0,5.9,0.5,7.8,73.0,0.55,7,7,8,7,0,0,725,3,2.3,0.98,24
Adrián Ayala,COL,RP,0.1,0.00,3.20,.500,0.0,0.0,0.0,27.0,100.0,1.00,5,7,8,6,0,0,2,0,-0.0,0.55,0
Neal Bass,SEA,SP,184.1,2.83,2.55,.306,29.3,8.0,0.7,7.3,80.2,0.58,9,8,7,7,0,0,740,1,2.6,1.05,24
Mason Belles,BOI,SP,140.1,3.33,3.53,.291,19.3,8.4,0.9,8.5,77.1,0.60,8,7,6,6,0,0,592,3,0.7,0.93,20
Tom Beyke,MIN,SP,159.2,3.78,3.77,.328,11.6,7.8,0.7,10.7,76.8,0.56,6,7,6,5,0,0,691,0,0.5,1.10,23
Josiah Bishop,BOS,SP,137.1,3.47,3.43,.296,17.1,9.0,0.7,8.8,74.7,0.55,7,7,7,6,0,0,580,4,1.1,0.97,19
Chad Blackburn,BOI,SP,52.0,5.19,3.55,.394,29.6,4.4,1.9,11.2,71.0,0.52,9,6,7,5,0,0,226,0,-0.7,0.96,8
Skyler Blanchette,DCN,SP,118.0,3.66,4.30,.283,18.6,10.4,1.1,8.2,79.9,0.45,8,6,6,6,0,0,489,1,-0.5,1.09,18
Rick Boone,SAC,SP,152.0,3.55,3.18,.308,16.6,7.9,0.6,9.2,70.8,0.52,6,7,8,6,0,0,644,4,0.0,1.05,23
Ben Boyington,CLT,CL,0.0,0.00,0.00,.000,0.0,0.0,0.0,0.0,0.0,0.00,8,6,5,6,0,0,0,0,0.0,0.00,0
Gary Bradley,NYY,SP,150.0,3.18,3.87,.263,15.0,9.6,0.7,7.8,77.9,0.57,6,7,7,5,0,0,625,2,1.5,1.07,23
Jerome Burns,SLC,SP,103.1,2.87,2.79,.277,16.9,9.4,0.2,7.6,73.5,0.50,7,7,7,5,0,0,427,4,2.0,1.13,16
John Calixte,VAN,SP,147.2,3.29,4.19,.261,10.3,9.0,0.7,8.4,79.1,0.50,5,6,7,6,0,0,621,0,1.6,1.06,22
